instance_name,algo_type,source,target,k,vertices,edges,vertices_preprocess,edges_preprocess,path_count,avg_length,ms, ms_preprocess,diversity, diversity_uw, div_min, div_max, min_uw, max_uw
wikivote.txt.gz,Diverse,1967,705,10,7115,103689,41,83,53,4.0,19,18,358.0,358.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,1967,705,10,7115,103689,41,83,53,4.0,18,18,312.0,312.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1615,4466,10,7115,103689,37,75,40,3.0,18,17,268.0,268.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,1615,4466,10,7115,103689,37,75,40,3.0,17,17,242.0,242.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,38,5596,10,7115,103689,110,297,243,4.0,29,19,360.0,360.0,8.0,8.0,8.0,8.0
wikivote.txt.gz,KBest,38,5596,10,7115,103689,110,297,243,4.0,19,19,332.0,332.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3667,7434,10,7115,103689,33,75,49,4.0,16,15,326.0,326.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,3667,7434,10,7115,103689,33,75,49,4.0,15,15,308.0,308.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,6656,1542,10,7115,103689,30,57,31,5.0,16,15,340.0,340.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,6656,1542,10,7115,103689,30,57,31,5.0,15,15,308.0,308.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4326,356,10,7115,103689,67,123,58,4.0,19,15,312.0,312.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,4326,356,10,7115,103689,67,123,58,4.0,15,15,274.0,274.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,2693,7879,10,7115,103689,64,144,82,3.0,18,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2693,7879,10,7115,103689,64,144,82,3.0,15,15,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5504,1425,10,7115,103689,94,209,144,5.0,22,17,360.0,360.0,8.0,8.0,8.0,8.0
wikivote.txt.gz,KBest,5504,1425,10,7115,103689,94,209,144,5.0,17,17,342.0,342.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1400,6613,10,7115,103689,48,105,59,5.0,19,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1400,6613,10,7115,103689,48,105,59,5.0,17,17,260.0,260.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1201,4530,10,7115,103689,33,72,41,3.0,18,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1201,4530,10,7115,103689,33,72,41,3.0,17,17,244.0,244.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5770,6,10,7115,103689,75,177,194,5.0,21,16,420.0,420.0,6.0,10.0,6.0,10.0
wikivote.txt.gz,KBest,5770,6,10,7115,103689,75,177,194,5.0,16,16,334.0,334.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1292,3486,10,7115,103689,79,241,171,4.0,23,17,350.0,350.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,1292,3486,10,7115,103689,79,241,171,4.0,17,17,316.0,316.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,7431,1166,10,7115,103689,47,101,56,4.0,18,16,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,7431,1166,10,7115,103689,47,101,56,4.0,16,16,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,713,6388,10,7115,103689,83,242,161,4.0,22,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,713,6388,10,7115,103689,83,242,161,4.0,16,16,262.0,262.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4383,4448,10,7115,103689,50,99,56,4.0,19,18,334.0,334.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,4383,4448,10,7115,103689,50,99,56,4.0,18,18,316.0,316.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4908,204,10,7115,103689,37,67,32,4.0,18,17,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4908,204,10,7115,103689,37,67,32,4.0,17,17,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,900,4778,10,7115,103689,35,73,41,4.0,16,15,320.0,320.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,900,4778,10,7115,103689,35,73,41,4.0,15,15,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,73,5499,10,7115,103689,27,56,35,4.0,17,17,342.0,342.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,73,5499,10,7115,103689,27,56,35,4.0,17,17,308.0,308.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1200,3713,10,7115,103689,31,61,32,3.0,17,16,256.0,256.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,1200,3713,10,7115,103689,31,61,32,3.0,16,16,226.0,226.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,7299,6951,10,7115,103689,55,109,56,5.0,19,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,7299,6951,10,7115,103689,55,109,56,5.0,17,17,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2067,308,10,7115,103689,44,82,55,5.0,16,15,360.0,360.0,8.0,8.0,8.0,8.0
wikivote.txt.gz,KBest,2067,308,10,7115,103689,44,82,55,5.0,15,15,338.0,338.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,5192,3104,10,7115,103689,45,102,59,4.0,18,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,5192,3104,10,7115,103689,45,102,59,4.0,16,16,262.0,262.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5884,2560,10,7115,103689,38,72,36,4.0,16,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,5884,2560,10,7115,103689,38,72,36,4.0,15,15,260.0,260.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5584,1692,10,7115,103689,40,72,34,4.0,17,16,342.0,342.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,5584,1692,10,7115,103689,40,72,34,4.0,16,16,312.0,312.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,1588,1287,10,7115,103689,36,67,34,5.0,19,18,334.0,334.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,1588,1287,10,7115,103689,36,67,34,5.0,18,18,300.0,300.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4632,2247,10,7115,103689,51,96,47,4.0,18,16,262.0,262.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,4632,2247,10,7115,103689,51,96,47,4.0,16,16,234.0,234.0,4.0,6.0,4.0,6.0
