Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds, PrepMillisec,Diversity, UnweightedDiv, MinDiv, MaxDiv, MinUnw, MaxUnw
wikivote.txt.gz,KBest,6771,1326,10,7115,103689,39,85,86,5.0,15,15,314.0,314.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,7391,3258,10,7115,103689,33,66,35,3.0,17,16,264.0,264.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,7391,3258,10,7115,103689,33,66,35,3.0,16,16,234.0,234.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,2077,5106,10,7115,103689,47,98,53,4.0,22,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,2077,5106,10,7115,103689,47,98,53,4.0,18,18,246.0,246.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6320,896,10,7115,103689,41,83,44,3.0,21,18,266.0,266.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,6320,896,10,7115,103689,41,83,44,3.0,18,18,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1894,4653,10,7115,103689,80,186,109,5.0,27,18,314.0,314.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,1894,4653,10,7115,103689,80,186,109,5.0,18,18,292.0,292.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3073,5321,10,7115,103689,43,104,63,3.0,22,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3073,5321,10,7115,103689,43,104,63,3.0,18,18,236.0,236.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5765,3772,10,7115,103689,42,105,65,4.0,19,15,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,5765,3772,10,7115,103689,42,105,65,4.0,15,15,240.0,240.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,4495,4798,10,7115,103689,33,70,39,4.0,20,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,4495,4798,10,7115,103689,33,70,39,4.0,18,18,250.0,250.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3006,978,10,7115,103689,42,96,56,3.0,20,17,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3006,978,10,7115,103689,42,96,56,3.0,17,17,244.0,244.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,6007,1260,10,7115,103689,86,192,160,5.0,26,16,426.0,426.0,6.0,10.0,6.0,10.0
wikivote.txt.gz,KBest,6007,1260,10,7115,103689,86,192,160,5.0,16,16,386.0,386.0,4.0,10.0,4.0,10.0
wikivote.txt.gz,Diverse,6071,152,10,7115,103689,51,98,49,4.0,18,14,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,KBest,6071,152,10,7115,103689,51,98,49,4.0,14,14,220.0,220.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,3047,8277,10,7115,103689,34,64,37,4.0,19,17,338.0,338.0,6.0,8.0,6.0,8.0
wikivote.txt.gz,KBest,3047,8277,10,7115,103689,34,64,37,4.0,17,17,292.0,292.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,5915,5155,10,7115,103689,36,74,40,3.0,18,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,5915,5155,10,7115,103689,36,74,40,3.0,16,16,258.0,258.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,5615,2818,10,7115,103689,34,68,36,4.0,18,16,302.0,302.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,5615,2818,10,7115,103689,34,68,36,4.0,16,16,276.0,276.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,3615,7726,10,7115,103689,76,186,112,3.0,26,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,3615,7726,10,7115,103689,76,186,112,3.0,16,16,252.0,252.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,1535,2977,10,7115,103689,48,131,85,4.0,23,18,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,1535,2977,10,7115,103689,48,131,85,4.0,18,18,248.0,248.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,462,4323,10,7115,103689,50,109,62,4.0,23,19,316.0,316.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,462,4323,10,7115,103689,50,109,62,4.0,19,19,286.0,286.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,4395,673,10,7115,103689,23,40,31,5.0,16,15,342.0,342.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,KBest,4395,673,10,7115,103689,23,40,31,5.0,15,15,286.0,286.0,4.0,8.0,4.0,8.0
wikivote.txt.gz,Diverse,573,4689,10,7115,103689,37,79,44,5.0,18,16,270.0,270.0,6.0,6.0,6.0,6.0
wikivote.txt.gz,KBest,573,4689,10,7115,103689,37,79,44,5.0,16,16,254.0,254.0,4.0,6.0,4.0,6.0
wikivote.txt.gz,Diverse,7728,2160,10,7115,103689,34,64,32,5.0,19,18,268.0,268.0,4.0,6.0,4.0,6.0
