Instance_Name,Algo_Type,Source,Target,k,#V,#E,#V_stPaths,#E_stPaths,#stPaths,Avg_stPath_Length,Milliseconds,Diversity
slashdot.txt.gz,KBest,72864,49005,10,82168,870161,49,88,41,5.0,653,256.0
slashdot.txt.gz,Diverse,69561,60489,10,82168,870161,43,80,41,6.0,501,330.0
slashdot.txt.gz,KBest,69561,60489,10,82168,870161,43,80,41,6.0,495,290.0
slashdot.txt.gz,Diverse,24217,35995,10,82168,870161,64,126,64,4.0,557,336.0
slashdot.txt.gz,KBest,24217,35995,10,82168,870161,64,126,64,4.0,550,290.0
slashdot.txt.gz,Diverse,12983,40623,10,82168,870161,78,164,88,4.0,568,342.0
slashdot.txt.gz,KBest,12983,40623,10,82168,870161,78,164,88,4.0,558,318.0
slashdot.txt.gz,Diverse,75463,67955,10,82168,870161,51,99,50,6.0,576,336.0
slashdot.txt.gz,KBest,75463,67955,10,82168,870161,51,99,50,6.0,574,326.0
slashdot.txt.gz,Diverse,11326,10189,10,82168,870161,62,122,62,4.0,602,320.0
slashdot.txt.gz,KBest,11326,10189,10,82168,870161,62,122,62,4.0,595,310.0
slashdot.txt.gz,Diverse,37011,53643,10,82168,870161,49,89,42,5.0,600,320.0
slashdot.txt.gz,KBest,37011,53643,10,82168,870161,49,89,42,5.0,592,308.0
slashdot.txt.gz,Diverse,24982,72804,10,82168,870161,27,51,30,5.0,566,336.0
slashdot.txt.gz,KBest,24982,72804,10,82168,870161,27,51,30,5.0,564,310.0
slashdot.txt.gz,Diverse,61404,27696,10,82168,870161,66,132,71,5.0,659,344.0
slashdot.txt.gz,KBest,61404,27696,10,82168,870161,66,132,71,5.0,654,286.0
slashdot.txt.gz,Diverse,13079,27364,10,82168,870161,92,195,108,4.0,548,336.0
slashdot.txt.gz,KBest,13079,27364,10,82168,870161,92,195,108,4.0,532,314.0
slashdot.txt.gz,Diverse,36921,43585,10,82168,870161,45,88,45,4.0,549,270.0
slashdot.txt.gz,KBest,36921,43585,10,82168,870161,45,88,45,4.0,547,242.0
slashdot.txt.gz,Diverse,15170,76788,10,82168,870161,98,205,114,5.0,569,350.0
slashdot.txt.gz,KBest,15170,76788,10,82168,870161,98,205,114,5.0,560,310.0
slashdot.txt.gz,Diverse,61576,26413,10,82168,870161,48,86,42,5.0,652,392.0
slashdot.txt.gz,KBest,61576,26413,10,82168,870161,48,86,42,5.0,577,344.0
slashdot.txt.gz,Diverse,49433,18581,10,82168,870161,37,67,32,4.0,609,270.0
slashdot.txt.gz,KBest,49433,18581,10,82168,870161,37,67,32,4.0,608,260.0
slashdot.txt.gz,Diverse,5354,34762,10,82168,870161,137,317,197,4.0,579,344.0
slashdot.txt.gz,KBest,5354,34762,10,82168,870161,137,317,197,4.0,562,288.0
slashdot.txt.gz,Diverse,37051,52733,10,82168,870161,111,258,149,5.0,612,270.0
slashdot.txt.gz,KBest,37051,52733,10,82168,870161,111,258,149,5.0,599,254.0
slashdot.txt.gz,Diverse,53476,60220,10,82168,870161,80,163,85,5.0,608,270.0
slashdot.txt.gz,KBest,53476,60220,10,82168,870161,80,163,85,5.0,601,252.0
slashdot.txt.gz,Diverse,76633,67475,10,82168,870161,124,372,307,6.0,596,348.0
slashdot.txt.gz,KBest,76633,67475,10,82168,870161,124,372,307,6.0,558,300.0
slashdot.txt.gz,Diverse,16105,61125,10,82168,870161,67,132,67,4.0,576,270.0
slashdot.txt.gz,KBest,16105,61125,10,82168,870161,67,132,67,4.0,570,240.0
slashdot.txt.gz,Diverse,42348,73795,10,82168,870161,64,118,56,5.0,594,336.0
slashdot.txt.gz,KBest,42348,73795,10,82168,870161,64,118,56,5.0,588,310.0
slashdot.txt.gz,Diverse,19205,5835,10,82168,870161,91,197,108,3.0,584,270.0
slashdot.txt.gz,KBest,19205,5835,10,82168,870161,91,197,108,3.0,575,254.0
slashdot.txt.gz,Diverse,12423,23485,10,82168,870161,31,85,74,4.0,539,340.0
slashdot.txt.gz,KBest,12423,23485,10,82168,870161,31,85,74,4.0,538,276.0
slashdot.txt.gz,Diverse,9492,41429,10,82168,870161,34,62,30,4.0,561,318.0
slashdot.txt.gz,KBest,9492,41429,10,82168,870161,34,62,30,4.0,560,298.0
slashdot.txt.gz,Diverse,53090,2113,10,82168,870161,32,68,38,4.0,597,258.0
slashdot.txt.gz,KBest,53090,2113,10,82168,870161,32,68,38,4.0,594,228.0
slashdot.txt.gz,Diverse,81865,964,10,82168,870161,362,993,654,6.0,717,352.0
slashdot.txt.gz,KBest,81865,964,10,82168,870161,362,993,654,6.0,536,308.0
slashdot.txt.gz,Diverse,11554,5113,10,82168,870161,65,139,76,4.0,589,270.0
slashdot.txt.gz,KBest,11554,5113,10,82168,870161,65,139,76,4.0,606,254.0
slashdot.txt.gz,Diverse,6907,27039,10,82168,870161,89,192,106,4.0,574,320.0
slashdot.txt.gz,KBest,6907,27039,10,82168,870161,89,192,106,4.0,549,290.0
slashdot.txt.gz,Diverse,48798,51822,10,82168,870161,47,88,43,5.0,580,340.0
slashdot.txt.gz,KBest,48798,51822,10,82168,870161,47,88,43,5.0,576,310.0
slashdot.txt.gz,Diverse,26897,39904,10,82168,870161,58,110,55,5.0,547,316.0
slashdot.txt.gz,KBest,26897,39904,10,82168,870161,58,110,55,5.0,544,268.0
slashdot.txt.gz,Diverse,12647,69820,10,82168,870161,90,178,90,5.0,552,348.0
slashdot.txt.gz,KBest,12647,69820,10,82168,870161,90,178,90,5.0,544,314.0
slashdot.txt.gz,Diverse,23008,77040,10,82168,870161,45,88,45,5.0,565,270.0
slashdot.txt.gz,KBest,23008,77040,10,82168,870161,45,88,45,5.0,551,246.0
slashdot.txt.gz,Diverse,20398,11949,10,82168,870161,41,71,32,4.0,539,318.0
slashdot.txt.gz,KBest,20398,11949,10,82168,870161,41,71,32,4.0,538,284.0
slashdot.txt.gz,Diverse,24578,14655,10,82168,870161,64,118,56,4.0,545,258.0
slashdot.txt.gz,KBest,24578,14655,10,82168,870161,64,118,56,4.0,541,250.0
slashdot.txt.gz,Diverse,10229,37741,10,82168,870161,66,136,72,4.0,595,270.0
slashdot.txt.gz,KBest,10229,37741,10,82168,870161,66,136,72,4.0,588,234.0
slashdot.txt.gz,Diverse,19928,9680,10,82168,870161,48,90,44,4.0,539,340.0
slashdot.txt.gz,KBest,19928,9680,10,82168,870161,48,90,44,4.0,538,320.0
slashdot.txt.gz,Diverse,39788,12895,10,82168,870161,65,133,70,4.0,602,320.0
slashdot.txt.gz,KBest,39788,12895,10,82168,870161,65,133,70,4.0,587,302.0
slashdot.txt.gz,Diverse,74935,7043,10,82168,870161,88,188,104,5.0,557,372.0
slashdot.txt.gz,KBest,74935,7043,10,82168,870161,88,188,104,5.0,548,334.0
slashdot.txt.gz,Diverse,29635,49315,10,82168,870161,75,144,71,5.0,587,410.0
slashdot.txt.gz,KBest,29635,49315,10,82168,870161,75,144,71,5.0,580,350.0
slashdot.txt.gz,Diverse,57115,45034,10,82168,870161,87,183,98,5.0,616,336.0
slashdot.txt.gz,KBest,57115,45034,10,82168,870161,87,183,98,5.0,599,278.0
slashdot.txt.gz,Diverse,12229,14047,10,82168,870161,93,180,89,4.0,558,180.0
slashdot.txt.gz,KBest,12229,14047,10,82168,870161,93,180,89,4.0,547,180.0
slashdot.txt.gz,Diverse,70656,27370,10,82168,870161,44,81,39,4.0,617,258.0
slashdot.txt.gz,KBest,70656,27370,10,82168,870161,44,81,39,4.0,613,232.0
slashdot.txt.gz,Diverse,61384,79520,10,82168,870161,48,84,38,6.0,573,418.0
slashdot.txt.gz,KBest,61384,79520,10,82168,870161,48,84,38,6.0,570,356.0
slashdot.txt.gz,Diverse,6000,50189,10,82168,870161,81,163,84,4.0,600,316.0
slashdot.txt.gz,KBest,6000,50189,10,82168,870161,81,163,84,4.0,595,256.0
slashdot.txt.gz,Diverse,17612,79026,10,82168,870161,70,142,74,5.0,552,328.0
slashdot.txt.gz,KBest,17612,79026,10,82168,870161,70,142,74,5.0,546,298.0
slashdot.txt.gz,Diverse,58320,51438,10,82168,870161,46,97,53,5.0,586,270.0
slashdot.txt.gz,KBest,58320,51438,10,82168,870161,46,97,53,5.0,583,242.0
slashdot.txt.gz,Diverse,4963,57769,10,82168,870161,34,62,30,4.0,602,310.0
slashdot.txt.gz,KBest,4963,57769,10,82168,870161,34,62,30,4.0,601,264.0
slashdot.txt.gz,Diverse,13547,62292,10,82168,870161,56,115,61,4.0,608,270.0
slashdot.txt.gz,KBest,13547,62292,10,82168,870161,56,115,61,4.0,604,234.0
slashdot.txt.gz,Diverse,21949,42702,10,82168,870161,83,163,82,4.0,548,332.0
slashdot.txt.gz,KBest,21949,42702,10,82168,870161,83,163,82,4.0,539,294.0
slashdot.txt.gz,Diverse,78209,62320,10,82168,870161,86,181,97,6.0,595,320.0
slashdot.txt.gz,KBest,78209,62320,10,82168,870161,86,181,97,6.0,589,302.0
slashdot.txt.gz,Diverse,27748,54467,10,82168,870161,53,104,53,4.0,535,312.0
slashdot.txt.gz,KBest,27748,54467,10,82168,870161,53,104,53,4.0,531,256.0
slashdot.txt.gz,Diverse,25074,72066,10,82168,870161,40,70,33,5.0,568,346.0
slashdot.txt.gz,KBest,25074,72066,10,82168,870161,40,70,33,5.0,565,288.0
slashdot.txt.gz,Diverse,40571,12633,10,82168,870161,37,77,42,4.0,554,318.0
slashdot.txt.gz,KBest,40571,12633,10,82168,870161,37,77,42,4.0,554,282.0
slashdot.txt.gz,Diverse,10396,71976,10,82168,870161,47,87,42,4.0,556,266.0
slashdot.txt.gz,KBest,10396,71976,10,82168,870161,47,87,42,4.0,553,242.0
slashdot.txt.gz,Diverse,17438,77129,10,82168,870161,37,65,30,5.0,544,246.0
slashdot.txt.gz,KBest,17438,77129,10,82168,870161,37,65,30,5.0,544,238.0
slashdot.txt.gz,Diverse,40170,37062,10,82168,870161,35,62,30,4.0,580,326.0
slashdot.txt.gz,KBest,40170,37062,10,82168,870161,35,62,30,4.0,576,304.0
slashdot.txt.gz,Diverse,19601,25981,10,82168,870161,81,149,72,4.0,530,356.0
